"Connection credentials", "Credenciais de conexão"
"This account is not confirmed. <a href='%s'>Click here</a> to resend confirmation email.", "Esta conta não foi verificada. <a href='%s'>Clique</a> aqui para reenviar o email de verificação"
"Customer is already logged in.", "O usuário já está conectado"
"Could not login","Could not login"
"Login and password are required.", "Usuário e senha são obrigatórios"
"This account need confirmation. See in confirmation email.", "Sua conta deve ser verificada. Por favor, confira seu email de confirmação"
"Account is created. Please check email to confirm.", "Sua conta foi criada. Por favor, verifique o email de confirmação"
"Invalid Exception code '%d'", "Código de exceção inválido"
"Order List", "Lista de pedidos"
"Order #", "Número do pedido"
"Order Date", "Data do pedido"
"Billing Country", "País de cobrança"
"Shipping Country", "País de envio"
"Qty. Ordered", "Quantidade selecionada"
"Subtotal", "Subtotal"
"Total", "Total"
"Invoiced", "Cobrado"
"Status", "Situação do envio"
"Action", "Ação"
"View", "Visualização"
"Total Customers from JMango360 Report", "Resumo do total de clientes de JMango360"
"JMango360 Report - Total number of registered customers", "Resumo do total de clientes de JMango360"
"Show Report", "Mostrar resumo"
"Total Ordered from JMango360 Report", "Resumo do total de pedidos de JMango360"
"JMango360 Report - Total number of orders", "Resumo do total de pedidos de JMango360"
"Total Sales from JMango360 Report", "Resumo do total de vendas de JMango360"
"JMango360 Report - Total number of sales", "Resumo do total de vendas de JMango360"
"Chart", "Gráfico"
"Period", "Período"
"Customers", "Clientes"
"Orders", "Pedidos"
"Order From", "Pedido de"
"JMango360 User", "Usuário JMango360"
"Download", "Baixar"
"Clear", "Remover"
"No", "Não"
"Yes", "Sim"
"Invalid token", "Código inválido"
"Session expired.", "Sessão expirada"
"No rest model found.", "Nenhum modelo de suporte encontrdo"
"Resource method not implemented", "Modelo de recurso não disponível"
"Minimum order amount is %s", "O valor mínimo do pedido é %s"
"Guest checkout is not enabled", "Não é possível realizar pagamento como convidado"
"Product ID invalid", "Identificação do produto inválida"
"Something is wrong with the order.", "Ocorreu um erro com seu pedido"
"Something is wrong with the quote or order.", "Ocorreu um erro com valor ou com o pedido"
"Cart is empty.", "O carrinho está vazio"
"Multishipping not implemented yet.", "Múltiplas expedições ainda não estão disponíveis"
"Checkout method not implemented yet: ", "Forma de pagamento ainda não disponível"
"Could not log-out customer", "Não foi possível encerrar a sessão"
"Please login.", "Por favor, inicie a sessão"
"Country code cannot be empty", "O código do país não pode estar em branco"
"Country does not exist: ", "País inexistente"
"Store not found", "Loja não encontrada"
"Not allowed.", "País inexistente"
"Set store option %s not found", "Opção de loja %s não encontrada"
"Set store option cannot be empty.", "Por favor, selecione uma loja"
"It's OK, I see it.", "Tudo bem, eu entendo"
"Product ID invalid", "Identificação de produto inválida"
"Product not found", "Produto não encontrado"
"Please login first!", "Por favor, inicie a sessão"
"Cannot specify product.", "Produto não especificado"
"Item not found", "Item não encontrado"
"%1$s has been updated in your wishlist.", "%1$s Foi atualizado em sua lista de desejos"
"An error occurred while updating your wishlist.", "Ocorreu um erro ao atualizar sua lista de desejos"
"Cannot specify your wishlist item.", "Não foi possível especificar o item da sua lista de desejos"
"The product does not exist.", "O produto não existe"
"Wishlist item removed", "Item removido da sua lista de desejos"
"An error occurred while deleting the item from wishlist: %s", "Ocorreu um erro ao deletar o item da sua lista de desejos: %s"
"An error occurred while deleting the item from wishlist.", "Ocorreu um erro ao deletar o item da sua lista de desejos."
"Can't save description %s", "Não é possível salvar descrição %s"
"Can't delete item from wishlist", "Não é possível deletar o item da lista de desejos"
"Can't save qty %s", "Não é possível salvar quantidade %s"
"Wishlist updated successfully", "Lista de desejos atualizada com sucesso"
"Can't update wishlist", "Não é possível atualizar a lista de desejos"
"No item updated", "Não há itens atualizados"
"Cannot specify product", "Não é possível especificar o produto"
"%s has been added to your wishlist.", "%s Foi adicionado à sua lista de desejos"
"An error occurred while adding item to your wishlist: %s", "Ocorreu um erro ao adicionar item à sua lista de desejos: %s"
"An error occurred while adding item to your wishlist", "Ocorreu um erro ao adicionar item à sua lista de desejos"
"Wishlist not allowed", "Lista de desejos não permitida"
"Wishlist doesn't exist", "Lista de desejos inexistente"
"Customer not logged in", "Usuário não efetuou login"
"Cart is empty.", "O carrinho está vazio"
"Coupon is not valid: ", "O cupom de desconto não é válido"
"Coupon could not be applied.", "O cupom de desconto não pode ser utilizado"
"%s: Minimum quantity allowed for purchase is %s.", "%s: Quantidade mínima para compra é %s"
"%s: Maximum quantity allowed for purchase is %s.", "%s: Quantidade máxima para compra é %s"
"%s was added to your shopping cart.", "%s Foi adicionado ao seu carrinho de compras"
"No cart data found.", "Nenhuma informação encontrada em seu carrinho de compras"
"Your shopping cart has been updated.", "Seu carrinho de compras foi atualizado"
"No bundle-product cart item ID found.", "Identificação do pacote de produtos não encontrada m seu carrinho de compras"
"The product you are trying to delete could not be found in the cart (item id is %s not found in cart).", "O produto que você está tentando deletar não se encontra no carrinho (Identificação do item %s não encontrada no carrinho)"
"The product has been deleted from your shopping cart.", "O produto foi removido do seu carrinho de compras"
"Category not found.", "Categoria não encontrada"
"Category not available.", "Categoria indisponível"
"No category found.", "Nenhuma categoria encontrada"
"Your search returns no results.", "A sua busca não teve resultados"
"Query cannot be empty.", "O campo de consulta não pode estar em branco"
"Methods are not complete yet. Cart shipping address is not yet completed and saved.", "Procedimentos ainda não estão concluídos. O endereço do carrinho de compras não está completo e salvo."
"Methods are not complete yet. Cart is empty.", "Procedimento ainda não está concluído. O carrinho está vazio"
"Shipping method has no shipping carrier object: %s", "O modo de envio não tem nenhuma transportadora disponível: %s"
"Carrier object has no collectRates method: %s", "A transportadora não recolhe taxas: %s"
"Shipping method has no rates object: %s", "Não há taxas de envio: %s"
"Shipping method has no getAllRates function: %s", "O modo de envio não tem a função de recolher todos os custos: %s"
"Shipping method has no rates: %s", "Transporte sem custo de envio: %s"
"Shipping method can not be empty.", "O modo de envio não pode estar em branco"
"This shipping method is currently not available.", "O modo de envio não está disponível no momento"
"Customer shipping address not found.", "O endereço de entrega do usuário não foi encontrado"
"Customer shipping address email not found.", "O email do usuário não foi encontrado"
"Customer billing address not found.", "O endereço de cobrança do usuário não foi encontrado"
"Payment method cannot be empty.", "A forma de pagamento não pode estar em branco"
"Email cannot be empty.", "O campo do email não pode estar em branco"
"This payment method is currently not available.", "Esta forma de pagamento não está disponível no momento"
"Please add ", "Por favor, adicione "
"Request info not matches the order.", "As informações solicitadas não conferem com o pedido"
"No payment provider to redirect found.", "Nenhum provedor de pagamento para ser direcionado"
"Request info does not match the quote. Probably the cart is ordered or the session is expired.", "Informações solicitadas não coincidem com os custos. O carrinho pode já ter sido encomendado ou a sessão expirou"
"Cart is no longer active.", "O carrinho não está mais disponível"
"Replaced by new order.", "Substituído por um novo pedido"
"Cannot save the address: ", "O endereço não pode ser salvo"
"The address does not belong to this customer.", "O endereço não pertence a este usuário"
"Default billing address can not be removed.", "O endereço de cobrança padrão não pode ser removido"
"Default shipping address can not be removed.", "O endereço de entrega padrão não pode ser removido"
"An error occurred while deleting the address.", "Ocorreu um erro ao deletar o endereço"
"Address ID can not be empty.", "O endereço é um campo obrigatório"
"New password field cannot be empty.", "New password field cannot be empty."
"Invalid current password", "Senha incorreta"
"The account information has been saved.", "Informações da conta foram salvas"
"Could not retrieve list: ", "Não foi possível recuperar a lista: "
"Order not found (no ID).", "Pedido não encontrado (sem identificação)"
"Invalid email address.", "Email incorreto"
"Please enter your email.", "Por favor, insira seu email"
"This account needs confirmation. See in confirmation email.", "Sua conta deve ser verificada. Por favor, confira seu email de confirmação"
"No products found.", "Nenhum produto foi encontrado"
"Category not found.", "Categoria não encontrada"
"Cannot find customer ID, please try again!", "Não foi possível encontrar a identificação do usuário. Por favor, tente novamente!"
"Your search returns no results.", "A sua busca não teve resultados"
"You must leave at least one payment method available.", "É necessário selecionar ao menos uma forma de pagamento válida."
"You must leave at least one shipping method available.", "É necessário selecionar ao menos um modo de envio válido."
"None", "Nenhum"
"Base Image", "Imagem base"
"Small Image", "Imagem pequena"
"Thumbnail", "Miniatura"
"Shipping Excl. Tax (%s)", "Envio livre de impostos (%s)"
"Shipping Incl. Tax (%s)", "Envio incluindo impostos (%s)"
"Subtotal (Excl. Tax)", "Subtotal (excluindo impostos)"
"Subtotal (Incl. Tax)", "Subtotal (incluindo impostos)"
"Grand Total Excl. Tax", "Total excluindo impostos"
"Grand Total Incl. Tax", "Total incluindo impostos"
"Unable to set Payment Method.", "Não é possível selecionar forma de pagamento"
"Reports", "Relatórios"
"Order Details", "Detalhes dos pedidos"
"Sales Reports", "Relatórios de vendas"
"Orders Reports", "Relatórios de pedidos"
"Customers Reports", "Relatórios dos clientes"
"Connection credentials", "Credenciais de conexão"
"Version", "Versão"
"The plugin version", "Versão do plug-in"
"User Name", "Nome do usuário"
"This username will be checked from every App while a session is set up between the App and the Magento store.", "Este nome de usuário será verificado de cada aplicativo enquanto uma sessão é estabelecida entre o aplicativo e a loja Magento"
"Api Key", "Chave do Api"
"This key will be checked from every App while a session is set up between the App and the Magento store.", "Esta chave será verificada de cada aplicativo enquanto uma sessão é estabelecida entre o aplicativo e a loja Magento"
"Use token for Api communications", "Use o token para a comunicação API"
"Use token will add check and refresh the token with every request.", "O uso do token irá adicionar verificação e atualizar o token com cada pedido"
"Catalogue Settings", "Catálogo de configurações"
"Include all active categories", "Incluir todas as categorias disponíveis"
"Include all ""Active"" categories regardless of whether or not they are included in navigation", "Incluem todas as categorias ""ativas"" independente de se elas estão ou não incluídas na navegação"
"Display attribute on Product Listing", "Mostra as características dos produtos listados"
"This attribute will be displayed in product listing", "Este recurso será exibido nos produtos listados"
"Display attribute on Product Details", "Recurso que exibe os detalhes do produto"
"This attribute will be displayed in product details", "Este recurso será exibido nos detalhes do produto"
"Mobile App Checkout Settings", "Configurações de pagamento do aplicativo móvel"
"Excluded shipping methods", "Excluir modos de envio"
"Select one or more, but not all shipping methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Selecione um ou mais, mas não todos os meios de transporte que não são adequados ou compatíveis para serem usados no  aplicativo móvel. Este pode ser redefinido em qualquer momento durante ou após a criação da conta no JMango360."
"Excluded payment methods", "Excluir formas de pagamento"
"Select one or more, but not all payment methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Selecione um ou mais, mas não todos as formas de pagamento que não são adequadas ou  compatíveis para serem usadas no aplicativo móvel. Este pode ser redefinido em qualquer momento durante ou após a criação da conta no JMango360."
"Web checkout URL", "Link da página de pagamento"
"Enter custom checkout url of website if Jmango360 plugin could not detect. Ex: checkout/onepage.", "Digite o link da a página de pagamento caso  o   plugin da JMango360 não puder ser detectado. Ex: check-out/ OnePage"
"Product image gallery settings", "Configurações da galeria de imagens do produto"
"Detail page image cache-width", "Imagens da largura de cache na página de detalhes"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Defina o ""Cache"" padrão de tamanho para imagens ""grandes"" na página de detalhes"
"Detail page image cache-height", "Imagens da altura de cache na página de detalhes"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Defina o ""Cache"" padrão de tamanho para imagens ""grandes"" na página de detalhes"
"Catalogue image cache-width", "Largura de Cache das imagens das páginas do catálogo"
"Set the default ""cached"" size for images on the catalogue pages.", "Defina o ""Cache"" padrão de tamanho para imagens no catálogo das páginas"
"Catalogue image cache-height", "Altura de cache das imagens da página do catálogo"
"Set the default ""cached"" size for images on the catalog pages.", "Defina o ""Cache"" padrão de tamanho para imagens no catálogo das páginas"
"Thumbnail image cache-width", "Largura de Cache das imagens em miniatura"
"Set the default ""cached"" size for thumbnails on the detail pages.", "Defina o ""Cache"" padrão de tamanho para miniaturas na página de detalhes"
"Thumbnail image cache-height", "Altura de Cache das imagens em miniatura"
"Set the default """cached"" size for thumbnails on the detail pages.", "Defina o ""Cache"" padrão de tamanho para miniaturas na página de detalhes"
"Choose image type to be displayed if catalogue thumbnail is not available", "Escolha o tipo de imagem a ser mostrada caso o catálogo de miniaturas não esteja disponível"
"Choose what kind of image of product that I would like to show in catalogue listing in mobile app.", "Escolha qual tipo de imagem do produto que você gostaria de mostrar na listagem do catálogo no aplicativo móvel"
"Choose image type to be displayed on catalogue page", "Escolha o tipo de imagem que será mostrada na página do catálogo"
"Choose what kind of image of product that I would like to show in product listing in mobile app.", "Escolha qual o tipo de imagem do produto que você gostaria de mostrar na lista de produtos do aplicativo móvel"
"Stock Settings", "Configurações do estoque"
"Display products availability in stock in mobile app", "Mostrar produtos disponíveis no estoque no aplicativo móvel"
"Developer", "Desenvolvedor"
"Enable debug logging", "Permtir o registro de depuração"
"Log requests to japi.log. Disable in production.", "Registrar solicitação para japi.log. Desativar na produção"
"Reports", "Relatórios"
"Orders", "Pedidos"
"Sales", "Vendas"
"Customers", "Clientes"
"Order Details", "Detalhe dos pedidos"
"Settings", "Configurações"
"Use Onepage checkout for mobile app", "Página de pagamento "onepage" é utilizada para dispositivo móve"
"Select to use JMango360 Onepage responsive web checkout for mobile app instead of default Magento checkout", "Selecione  JMango360 como página de pagamento OnePage para celular em vez da página de pagamento Magento"
"Hide non value additional attributes", "Esconder atributos adicionais sem valor"
"Attribute whose value is N/A or blank will not be displayed on Additional Information on product detail page", "Atributo cujo valor é N/A ou em branco não será exibido nas Informações adicionais na página de detalhes do produto"
"Mobile App Login Settings", "Configuração de login do aplicativo móvel"
"App users must login to see product prices", "Os usuários do aplicativo devem estar logados para ver preços e adicionar produtos ao carrinho"
"This will prevent mobile app user using app without an account.", "Isso vai evitar que usuários usem o aplicativo sem serem cadastrados"
"Discount Codes", "Discount Codes"
"Enter your coupon code if you have one.", "Enter your coupon code if you have one."
"Apply Coupon", "Apply Coupon"
"Cancel Coupon", "Cancel Coupon"
"Enable Order From in orders list", "Permitir pedidos de listas de pedidos"
"Select to view which orders are from JMango360", "Selecionar para visualizar quais pedidos são para JMango360"
"Enable JMango360 User in Customers list", "Permitir usuário JMango360 na lista de clientes"
"Select to view which customers are from JMango360", "Selecionar para visualizar quais clientes são de JMango360"
"Adding extra attributes to registration form", "Adicionar atributos extras as fichas de inscrição"
"Adding these attributes to customer registration form in mobile app", "Adicionar estes atributos ao formulário de inscrição do cliente no aplicativo móvel"
"Show image of child product in Grouped Product Detail on mobile", "Mostrar imagem de produtos infantis nas Informações de produtos agrupados no celular"
"Please wait", "Por favor, aguarde"
"Enter xml layout update code here, it will only affect JMango360 Onepage checkout page", "Digite o código xml  de atualização do layout aqui, ele só irá afetar a página de pagamento OnePage JMango360"
"Enter css code here, it will only append to JMango360 Onepage checkout page", "Digite o código css aqui, ele só irá anexar a página de pagamento JMango360 onepage"
"A new version of the JMango360 Mobile plugin %s is available. Please update.", "Uma nova versão do JMango360 para dispositivo  móvel  está disponível. Por favor, atualize."
"Group ID not found.", "Group ID not found."
"Group not found.", "Group not found."
"Account is created. Please check email to confirm.", "Sua conta foi criada. Por favor, verifique o email de confirmação"
"Please close this form and login with your new account.", "Por favor cierra esta pagina y accede a tu cuenta."
